X,CH1,CH2
Second,Volt,Volt
-6.5320003e-04,3.20000e-01,-1.20000e-02
-6.5300002e-04,3.20000e-01,-1.20000e-02
-6.5280002e-04,3.20000e-01,-1.20000e-02
-6.5260002e-04,3.20000e-01,-1.20000e-02
-6.5240002e-04,3.20000e-01,-1.20000e-02
-6.5220002e-04,3.20000e-01,-1.20000e-02
-6.5200002e-04,3.20000e-01,-1.20000e-02
-6.5180002e-04,3.20000e-01,-1.20000e-02
-6.5160001e-04,3.20000e-01,-1.20000e-02
-6.5140001e-04,3.20000e-01,-1.20000e-02
-6.5120001e-04,3.20000e-01,-1.20000e-02
-6.5100001e-04,3.20000e-01,-1.20000e-02
-6.5080001e-04,3.20000e-01,-1.20000e-02
-6.5060001e-04,3.20000e-01,-1.20000e-02
-6.5040000e-04,3.20000e-01,-1.20000e-02
-6.5020000e-04,3.20000e-01,-1.20000e-02
-6.5000000e-04,3.20000e-01,-1.20000e-02
-6.4980000e-04,3.20000e-01,-1.20000e-02
-6.4960000e-04,3.20000e-01,-1.20000e-02
-6.4940000e-04,3.20000e-01,-1.20000e-02
-6.4920005e-04,3.20000e-01,-1.20000e-02
-6.4900005e-04,2.80000e-01,-2.00000e-02
-6.4880005e-04,3.20000e-01,-1.60000e-02
-6.4860005e-04,2.80000e-01,-2.00000e-02
-6.4840005e-04,3.20000e-01,-1.60000e-02
-6.4820005e-04,2.80000e-01,-2.00000e-02
-6.4800004e-04,3.40000e-01,-1.60000e-02
-6.4780004e-04,2.80000e-01,-2.00000e-02
-6.4760004e-04,3.40000e-01,-1.60000e-02
-6.4740004e-04,2.80000e-01,-2.00000e-02
-6.4720004e-04,3.40000e-01,-1.60000e-02
-6.4700004e-04,2.80000e-01,-2.00000e-02
-6.4680004e-04,3.20000e-01,-1.60000e-02
-6.4660003e-04,2.80000e-01,-2.00000e-02
-6.4640003e-04,3.20000e-01,-1.60000e-02
-6.4620003e-04,2.80000e-01,-2.00000e-02
-6.4600003e-04,3.20000e-01,-1.60000e-02
-6.4580003e-04,2.80000e-01,-2.40000e-02
-6.4560003e-04,3.20000e-01,-1.60000e-02
-6.4540002e-04,2.80000e-01,-2.40000e-02
-6.4520002e-04,3.20000e-01,-2.00000e-02
-6.4500002e-04,2.80000e-01,-2.40000e-02
-6.4480002e-04,3.20000e-01,-1.60000e-02
-6.4460002e-04,2.80000e-01,-2.40000e-02
-6.4440002e-04,3.20000e-01,-2.00000e-02
-6.4420002e-04,2.80000e-01,-2.40000e-02
-6.4400001e-04,3.40000e-01,-1.60000e-02
-6.4380001e-04,2.80000e-01,-2.40000e-02
-6.4360001e-04,3.20000e-01,-2.00000e-02
-6.4340001e-04,2.80000e-01,-2.40000e-02
-6.4320001e-04,3.40000e-01,-1.60000e-02
-6.4300001e-04,2.80000e-01,-2.40000e-02
-6.4280001e-04,3.20000e-01,-1.60000e-02
-6.4260000e-04,2.80000e-01,-2.40000e-02
-6.4240000e-04,3.20000e-01,-1.60000e-02
-6.4220000e-04,2.80000e-01,-2.40000e-02
