X,CH1,
Second,Volt,
-2.9388428e-01,8.80000e-02,
-2.9384768e-01,7.04000e-01,
-2.9381105e-01,8.80000e-02,
-2.9377443e-01,7.92000e-01,
-2.9373780e-01,8.80000e-02,
-2.9370117e-01,6.16000e-01,
-2.9366457e-01,8.80000e-02,
-2.9362795e-01,7.04000e-01,
-2.9359132e-01,8.80000e-02,
-2.9355469e-01,6.16000e-01,
-2.9351807e-01,1.76000e-01,
-2.9348147e-01,7.04000e-01,
-2.9344484e-01,8.80000e-02,
-2.9340822e-01,7.04000e-01,
-2.9337159e-01,8.80000e-02,
-2.9333496e-01,6.16000e-01,
-2.9329836e-01,8.80000e-02,
-2.9326174e-01,7.92000e-01,
-2.9322511e-01,8.80000e-02,
-2.9318848e-01,7.04000e-01,
-2.9315186e-01,8.80000e-02,
-2.9311526e-01,7.04000e-01,
-2.9307863e-01,8.80000e-02,
-2.9304200e-01,6.16000e-01,
-2.9300538e-01,8.80000e-02,
-2.9296875e-01,7.04000e-01,
-2.9293215e-01,8.80000e-02,
-2.9289553e-01,7.04000e-01,
-2.9285890e-01,8.80000e-02,
-2.9282227e-01,7.04000e-01,
-2.9278564e-01,8.80000e-02,
-2.9274905e-01,6.16000e-01,
-2.9271242e-01,8.80000e-02,
-2.9267579e-01,6.16000e-01,
-2.9263917e-01,8.80000e-02,
-2.9260254e-01,7.92000e-01,
-2.9256594e-01,8.80000e-02,
-2.9252931e-01,7.04000e-01,
-2.9249269e-01,8.80000e-02,
-2.9245606e-01,6.16000e-01,
-2.9241943e-01,8.80000e-02,
-2.9238284e-01,7.04000e-01,
-2.9234621e-01,8.80000e-02,
-2.9230958e-01,6.16000e-01,
-2.9227296e-01,8.80000e-02,
-2.9223633e-01,6.16000e-01,
-2.9219973e-01,8.80000e-02,
-2.9216310e-01,7.04000e-01,
-2.9212648e-01,8.80000e-02,
-2.9208985e-01,7.04000e-01,
-2.9205322e-01,8.80000e-02,
-2.9201663e-01,6.16000e-01,
-2.9198000e-01,8.80000e-02,
-2.9194337e-01,7.04000e-01,
-2.9190674e-01,8.80000e-02,
-2.9187012e-01,7.92000e-01,
-2.9183352e-01,8.80000e-02,
-2.9179689e-01,7.04000e-01,
-2.9176027e-01,8.80000e-02,
-2.9172364e-01,7.04000e-01,
-2.9168701e-01,8.80000e-02,
-2.9165041e-01,7.04000e-01,
-2.9161379e-01,8.80000e-02,
-2.9157716e-01,7.04000e-01,
-2.9154053e-01,8.80000e-02,
-2.9150391e-01,7.04000e-01,
-2.9146731e-01,8.80000e-02,
-2.9143068e-01,7.04000e-01,
-2.9139405e-01,8.80000e-02,
-2.9135743e-01,6.16000e-01,
-2.9132080e-01,8.80000e-02,
-2.9128420e-01,5.28000e-01,
-2.9124758e-01,8.80000e-02,
-2.9121095e-01,7.04000e-01,
-2.9117432e-01,8.80000e-02,
-2.9113770e-01,7.04000e-01,
-2.9110110e-01,8.80000e-02,
-2.9106447e-01,7.92000e-01,
-2.9102784e-01,8.80000e-02,
-2.9099122e-01,7.04000e-01,
-2.9095459e-01,8.80000e-02,
-2.9091799e-01,7.04000e-01,
-2.9088137e-01,8.80000e-02,
-2.9084474e-01,6.16000e-01,
-2.9080811e-01,8.80000e-02,
-2.9077148e-01,7.04000e-01,
-2.9073489e-01,8.80000e-02,
-2.9069826e-01,6.16000e-01,
-2.9066163e-01,8.80000e-02,
-2.9062501e-01,7.04000e-01,
-2.9058838e-01,8.80000e-02,
-2.9055178e-01,7.04000e-01,
-2.9051515e-01,8.80000e-02,
-2.9047853e-01,7.04000e-01,
-2.9044190e-01,8.80000e-02,
-2.9040527e-01,6.16000e-01,
-2.9036868e-01,8.80000e-02,
-2.9033205e-01,7.04000e-01,
-2.9029542e-01,8.80000e-02,
-2.9025880e-01,7.04000e-01,
-2.9022217e-01,8.80000e-02,
-2.9018557e-01,7.04000e-01,
-2.9014894e-01,1.76000e-01,
-2.9011232e-01,7.92000e-01,
-2.9007569e-01,1.76000e-01,
-2.9003906e-01,7.04000e-01,
-2.9000247e-01,8.80000e-02,
-2.8996584e-01,6.16000e-01,
-2.8992921e-01,8.80000e-02,
-2.8989258e-01,6.16000e-01,
-2.8985596e-01,8.80000e-02,
-2.8981936e-01,6.16000e-01,
-2.8978273e-01,8.80000e-02,
-2.8974611e-01,7.04000e-01,
-2.8970948e-01,1.76000e-01,
-2.8967285e-01,7.04000e-01,
-2.8963625e-01,8.80000e-02,
-2.8959963e-01,6.16000e-01,
-2.8956300e-01,1.76000e-01,
-2.8952637e-01,7.04000e-01,
-2.8948975e-01,8.80000e-02,
-2.8945315e-01,6.16000e-01,
-2.8941652e-01,8.80000e-02,
-2.8937989e-01,7.04000e-01,
-2.8934327e-01,8.80000e-02,
-2.8930664e-01,7.04000e-01,
-2.8927004e-01,8.80000e-02,
-2.8923342e-01,7.92000e-01,
-2.8919679e-01,8.80000e-02,
-2.8916016e-01,7.04000e-01,
-2.8912354e-01,1.76000e-01,
-2.8908694e-01,7.04000e-01,
-2.8905031e-01,8.80000e-02,
-2.8901368e-01,7.92000e-01,
-2.8897706e-01,8.80000e-02,
-2.8894043e-01,7.04000e-01,
-2.8890383e-01,8.80000e-02,
-2.8886721e-01,7.04000e-01,
-2.8883058e-01,8.80000e-02,
-2.8879395e-01,7.04000e-01,
-2.8875732e-01,8.80000e-02,
-2.8872073e-01,8.80000e-01,
-2.8868410e-01,8.80000e-02,
-2.8864747e-01,7.04000e-01,
-2.8861085e-01,8.80000e-02,
-2.8857422e-01,7.04000e-01,
-2.8853762e-01,8.80000e-02,
-2.8850099e-01,7.04000e-01,
-2.8846437e-01,8.80000e-02,
-2.8842774e-01,7.04000e-01,
-2.8839111e-01,8.80000e-02,
-2.8835452e-01,7.04000e-01,
-2.8831789e-01,8.80000e-02,
-2.8828126e-01,7.04000e-01,
-2.8824463e-01,8.80000e-02,
-2.8820801e-01,7.04000e-01,
-2.8817141e-01,8.80000e-02,
-2.8813478e-01,6.16000e-01,
-2.8809816e-01,8.80000e-02,
-2.8806153e-01,6.16000e-01,
-2.8802490e-01,8.80000e-02,
-2.8798831e-01,6.16000e-01,
-2.8795168e-01,8.80000e-02,
-2.8791505e-01,7.04000e-01,
-2.8787842e-01,8.80000e-02,
-2.8784180e-01,7.04000e-01,
-2.8780520e-01,8.80000e-02,
-2.8776857e-01,7.04000e-01,
-2.8773195e-01,8.80000e-02,
-2.8769532e-01,6.16000e-01,
-2.8765869e-01,8.80000e-02,
-2.8762209e-01,6.16000e-01,
-2.8758547e-01,8.80000e-02,
-2.8754884e-01,7.04000e-01,
-2.8751221e-01,1.76000e-01,
-2.8747559e-01,7.92000e-01,
-2.8743899e-01,8.80000e-02,
-2.8740236e-01,6.16000e-01,
-2.8736573e-01,8.80000e-02,
-2.8732911e-01,7.04000e-01,
-2.8729248e-01,8.80000e-02,
-2.8725588e-01,7.04000e-01,
-2.8721926e-01,8.80000e-02,
-2.8718263e-01,7.04000e-01,
-2.8714600e-01,8.80000e-02,
-2.8710938e-01,7.04000e-01,
-2.8707278e-01,8.80000e-02,
-2.8703615e-01,6.16000e-01,
-2.8699952e-01,8.80000e-02,
-2.8696290e-01,7.04000e-01,
-2.8692627e-01,8.80000e-02,
-2.8688967e-01,7.04000e-01,
-2.8685305e-01,8.80000e-02,
-2.8681642e-01,7.92000e-01,
-2.8677979e-01,8.80000e-02,
-2.8674316e-01,7.04000e-01,
-2.8670657e-01,8.80000e-02,
-2.8666994e-01,7.04000e-01,
-2.8663331e-01,1.76000e-01,
-2.8659669e-01,7.04000e-01,
-2.8656006e-01,1.76000e-01,
-2.8652346e-01,7.04000e-01,
-2.8648683e-01,8.80000e-02,
-2.8645021e-01,7.04000e-01,
-2.8641358e-01,8.80000e-02,
-2.8637695e-01,6.16000e-01,
-2.8634036e-01,8.80000e-02,
-2.8630373e-01,7.04000e-01,
-2.8626710e-01,8.80000e-02,
-2.8623047e-01,6.16000e-01,
-2.8619385e-01,8.80000e-02,
-2.8615725e-01,7.04000e-01,
-2.8612062e-01,8.80000e-02,
-2.8608400e-01,7.04000e-01,
-2.8604737e-01,8.80000e-02,
-2.8601074e-01,6.16000e-01,
-2.8597414e-01,8.80000e-02,
-2.8593752e-01,7.04000e-01,
-2.8590089e-01,8.80000e-02,
-2.8586426e-01,7.04000e-01,
-2.8582764e-01,8.80000e-02,
-2.8579104e-01,6.16000e-01,
-2.8575441e-01,1.76000e-01,
-2.8571779e-01,7.92000e-01,
-2.8568116e-01,8.80000e-02,
-2.8564453e-01,7.92000e-01,
-2.8560793e-01,8.80000e-02,
-2.8557131e-01,7.04000e-01,
-2.8553468e-01,1.76000e-01,
-2.8549805e-01,6.16000e-01,
-2.8546143e-01,8.80000e-02,
-2.8542483e-01,7.04000e-01,
-2.8538820e-01,8.80000e-02,
-2.8535157e-01,7.04000e-01,
-2.8531495e-01,8.80000e-02,
-2.8527832e-01,7.04000e-01,
-2.8524172e-01,8.80000e-02,
-2.8520510e-01,7.04000e-01,
-2.8516847e-01,8.80000e-02,
-2.8513184e-01,7.04000e-01,
-2.8509521e-01,1.76000e-01,
-2.8505862e-01,6.16000e-01,
-2.8502199e-01,8.80000e-02,
-2.8498536e-01,7.04000e-01,
-2.8494874e-01,1.76000e-01,
-2.8491211e-01,6.16000e-01,
-2.8487551e-01,8.80000e-02,
-2.8483889e-01,6.16000e-01,
-2.8480226e-01,1.76000e-01,
-2.8476563e-01,7.04000e-01,
-2.8472900e-01,8.80000e-02,
-2.8469241e-01,7.04000e-01,
-2.8465578e-01,8.80000e-02,
-2.8461915e-01,6.16000e-01,
-2.8458253e-01,8.80000e-02,
-2.8454590e-01,7.04000e-01,
-2.8450930e-01,8.80000e-02,
-2.8447267e-01,7.04000e-01,
-2.8443605e-01,8.80000e-02,
-2.8439942e-01,6.16000e-01,
-2.8436279e-01,8.80000e-02,
-2.8432620e-01,7.04000e-01,
-2.8428957e-01,1.76000e-01,
-2.8425294e-01,7.04000e-01,
-2.8421631e-01,8.80000e-02,
-2.8417969e-01,6.16000e-01,
-2.8414309e-01,8.80000e-02,
-2.8410646e-01,7.04000e-01,
-2.8406984e-01,8.80000e-02,
-2.8403321e-01,7.92000e-01,
-2.8399658e-01,8.80000e-02,
-2.8395998e-01,8.80000e-01,
-2.8392336e-01,8.80000e-02,
-2.8388673e-01,6.16000e-01,
-2.8385010e-01,8.80000e-02,
-2.8381348e-01,6.16000e-01,
-2.8377688e-01,8.80000e-02,
-2.8374025e-01,7.04000e-01,
-2.8370363e-01,8.80000e-02,
-2.8366700e-01,6.16000e-01,
-2.8363037e-01,8.80000e-02,
-2.8359377e-01,7.04000e-01,
-2.8355715e-01,8.80000e-02,
-2.8352052e-01,7.92000e-01,
-2.8348389e-01,8.80000e-02,
-2.8344727e-01,7.04000e-01,
-2.8341067e-01,8.80000e-02,
-2.8337404e-01,6.16000e-01,
-2.8333741e-01,8.80000e-02,
-2.8330079e-01,6.16000e-01,
-2.8326416e-01,8.80000e-02,
-2.8322756e-01,8.80000e-01,
-2.8319094e-01,8.80000e-02,
-2.8315431e-01,7.04000e-01,
-2.8311768e-01,8.80000e-02,
-2.8308105e-01,6.16000e-01,
-2.8304446e-01,8.80000e-02,
-2.8300783e-01,7.04000e-01,
-2.8297120e-01,1.76000e-01,
-2.8293458e-01,7.04000e-01,
-2.8289795e-01,8.80000e-02,
-2.8286135e-01,7.92000e-01,
-2.8282472e-01,1.76000e-01,
-2.8278810e-01,7.04000e-01,
-2.8275147e-01,8.80000e-02,
-2.8271484e-01,6.16000e-01,
-2.8267825e-01,8.80000e-02,
-2.8264162e-01,7.04000e-01,
-2.8260499e-01,8.80000e-02,
-2.8256837e-01,7.04000e-01,
-2.8253174e-01,8.80000e-02,
-2.8249514e-01,7.04000e-01,
-2.8245851e-01,8.80000e-02,
-2.8242189e-01,7.04000e-01,
-2.8238526e-01,1.76000e-01,
-2.8234863e-01,7.04000e-01,
-2.8231204e-01,8.80000e-02,
-2.8227541e-01,7.04000e-01,
-2.8223878e-01,1.76000e-01,
-2.8220215e-01,7.04000e-01,
-2.8216553e-01,1.76000e-01,
-2.8212893e-01,6.16000e-01,
-2.8209230e-01,8.80000e-02,
-2.8205568e-01,7.04000e-01,
-2.8201905e-01,8.80000e-02,
-2.8198242e-01,7.04000e-01,
-2.8194582e-01,8.80000e-02,
-2.8190920e-01,7.04000e-01,
-2.8187257e-01,8.80000e-02,
-2.8183594e-01,7.04000e-01,
-2.8179932e-01,8.80000e-02,
-2.8176272e-01,7.04000e-01,
-2.8172609e-01,1.76000e-01,
-2.8168947e-01,7.04000e-01,
-2.8165284e-01,8.80000e-02,
-2.8161621e-01,7.04000e-01,
-2.8157961e-01,8.80000e-02,
-2.8154299e-01,6.16000e-01,
-2.8150636e-01,8.80000e-02,
-2.8146973e-01,7.04000e-01,
-2.8143311e-01,8.80000e-02,
-2.8139651e-01,7.04000e-01,
-2.8135988e-01,8.80000e-02,
-2.8132325e-01,7.04000e-01,
-2.8128663e-01,8.80000e-02,
-2.8125000e-01,7.04000e-01,
-2.8121340e-01,8.80000e-02,
-2.8117678e-01,7.92000e-01,
-2.8114015e-01,8.80000e-02,
-2.8110352e-01,7.92000e-01,
-2.8106689e-01,8.80000e-02,
-2.8103030e-01,7.04000e-01,
-2.8099367e-01,8.80000e-02,
-2.8095704e-01,7.04000e-01,
-2.8092042e-01,8.80000e-02,
-2.8088379e-01,6.16000e-01,
-2.8084719e-01,8.80000e-02,
-2.8081056e-01,6.16000e-01,
-2.8077394e-01,8.80000e-02,
-2.8073731e-01,7.04000e-01,
-2.8070068e-01,8.80000e-02,
-2.8066409e-01,6.16000e-01,
-2.8062746e-01,8.80000e-02,
-2.8059083e-01,7.04000e-01,
-2.8055421e-01,8.80000e-02,
-2.8051758e-01,6.16000e-01,
-2.8048098e-01,8.80000e-02,
-2.8044435e-01,6.16000e-01,
-2.8040773e-01,8.80000e-02,
-2.8037110e-01,7.92000e-01,
-2.8033447e-01,8.80000e-02,
-2.8029788e-01,7.92000e-01,
-2.8026125e-01,8.80000e-02,
-2.8022462e-01,7.92000e-01,
-2.8018799e-01,8.80000e-02,
-2.8015137e-01,7.04000e-01,
-2.8011477e-01,8.80000e-02,
-2.8007814e-01,7.04000e-01,
-2.8004152e-01,8.80000e-02,
-2.8000489e-01,7.04000e-01,
-2.7996826e-01,8.80000e-02,
-2.7993166e-01,7.04000e-01,
-2.7989504e-01,1.76000e-01,
-2.7985841e-01,7.04000e-01,
-2.7982178e-01,8.80000e-02,
-2.7978516e-01,6.16000e-01,
-2.7974856e-01,8.80000e-02,
-2.7971193e-01,6.16000e-01,
-2.7967530e-01,8.80000e-02,
-2.7963868e-01,7.04000e-01,
-2.7960205e-01,8.80000e-02,
-2.7956545e-01,6.16000e-01,
-2.7952883e-01,8.80000e-02,
-2.7949220e-01,7.04000e-01,
-2.7945557e-01,8.80000e-02,
-2.7941895e-01,6.16000e-01,
-2.7938235e-01,8.80000e-02,
-2.7934572e-01,6.16000e-01,
-2.7930909e-01,8.80000e-02,
-2.7927247e-01,7.04000e-01,
-2.7923584e-01,8.80000e-02,
-2.7919924e-01,7.92000e-01,
-2.7916262e-01,8.80000e-02,
-2.7912599e-01,7.04000e-01,
-2.7908936e-01,8.80000e-02,
-2.7905273e-01,7.04000e-01,
-2.7901614e-01,1.76000e-01,
