X,CH1,
Second,Volt,
-2.9920000e-01,8.80000e-01,
-2.9916337e-01,8.80000e-01,
-2.9912674e-01,7.04000e-01,
-2.9909015e-01,7.04000e-01,
-2.9905352e-01,8.80000e-01,
-2.9901689e-01,8.80000e-01,
-2.9898027e-01,7.04000e-01,
-2.9894364e-01,7.04000e-01,
-2.9890704e-01,8.80000e-01,
-2.9887041e-01,8.80000e-01,
-2.9883379e-01,7.04000e-01,
-2.9879716e-01,7.04000e-01,
-2.9876053e-01,8.80000e-01,
-2.9872394e-01,8.80000e-01,
-2.9868731e-01,7.04000e-01,
-2.9865068e-01,7.04000e-01,
-2.9861405e-01,8.80000e-01,
-2.9857743e-01,8.80000e-01,
-2.9854083e-01,7.04000e-01,
-2.9850420e-01,7.04000e-01,
-2.9846758e-01,8.80000e-01,
-2.9843095e-01,8.80000e-01,
-2.9839432e-01,7.04000e-01,
-2.9835773e-01,7.04000e-01,
-2.9832110e-01,8.80000e-01,
-2.9828447e-01,8.80000e-01,
-2.9824784e-01,7.04000e-01,
-2.9821122e-01,7.04000e-01,
-2.9817462e-01,8.80000e-01,
-2.9813799e-01,8.80000e-01,
-2.9810137e-01,7.04000e-01,
-2.9806474e-01,7.04000e-01,
-2.9802811e-01,8.80000e-01,
-2.9799151e-01,8.80000e-01,
-2.9795489e-01,7.04000e-01,
-2.9791826e-01,7.04000e-01,
-2.9788163e-01,8.80000e-01,
-2.9784501e-01,8.80000e-01,
-2.9780841e-01,1.76000e-01,
-2.9777178e-01,7.04000e-01,
-2.9773515e-01,8.80000e-02,
-2.9769853e-01,7.04000e-01,
-2.9766190e-01,8.80000e-02,
-2.9762530e-01,8.80000e-01,
-2.9758868e-01,8.80000e-02,
-2.9755205e-01,7.92000e-01,
-2.9751542e-01,8.80000e-02,
-2.9747880e-01,7.04000e-01,
-2.9744220e-01,8.80000e-02,
-2.9740557e-01,7.04000e-01,
-2.9736894e-01,8.80000e-02,
-2.9733232e-01,7.04000e-01,
-2.9729569e-01,8.80000e-02,
-2.9725909e-01,6.16000e-01,
-2.9722247e-01,8.80000e-02,
-2.9718584e-01,7.04000e-01,
-2.9714921e-01,8.80000e-02,
-2.9711258e-01,7.04000e-01,
