X,CH1,
Second,Volt,
-2.0000002e-01,7.04000e-01,
-1.9996339e-01,7.04000e-01,
-1.9992676e-01,7.92000e-01,
-1.9989017e-01,7.92000e-01,
-1.9985354e-01,7.04000e-01,
-1.9981691e-01,7.04000e-01,
-1.9978029e-01,7.92000e-01,
-1.9974366e-01,7.92000e-01,
-1.9970706e-01,7.04000e-01,
-1.9967043e-01,7.04000e-01,
-1.9963381e-01,7.92000e-01,
-1.9959718e-01,7.92000e-01,
-1.9956055e-01,7.04000e-01,
-1.9952396e-01,7.04000e-01,
-1.9948733e-01,7.92000e-01,
-1.9945070e-01,7.92000e-01,
-1.9941407e-01,7.04000e-01,
-1.9937745e-01,7.04000e-01,
-1.9934085e-01,7.92000e-01,
-1.9930422e-01,7.92000e-01,
-1.9926760e-01,7.04000e-01,
-1.9923097e-01,7.04000e-01,
-1.9919434e-01,7.92000e-01,
-1.9915774e-01,7.92000e-01,
-1.9912112e-01,7.04000e-01,
-1.9908449e-01,7.04000e-01,
-1.9904786e-01,7.92000e-01,
-1.9901124e-01,7.92000e-01,
-1.9897464e-01,7.04000e-01,
-1.9893801e-01,7.04000e-01,
-1.9890139e-01,7.92000e-01,
-1.9886476e-01,7.92000e-01,
-1.9882813e-01,7.04000e-01,
-1.9879153e-01,7.04000e-01,
-1.9875491e-01,7.92000e-01,
-1.9871828e-01,7.92000e-01,
-1.9868165e-01,7.04000e-01,
-1.9864503e-01,7.04000e-01,
-1.9860843e-01,7.92000e-01,
-1.9857180e-01,7.92000e-01,
-1.9853517e-01,7.04000e-01,
-1.9849855e-01,7.04000e-01,
-1.9846192e-01,1.76000e-01,
-1.9842532e-01,7.92000e-01,
-1.9838870e-01,8.80000e-02,
-1.9835207e-01,7.04000e-01,
-1.9831544e-01,8.80000e-02,
-1.9827881e-01,7.04000e-01,
-1.9824222e-01,8.80000e-02,
-1.9820559e-01,7.04000e-01,
-1.9816896e-01,8.80000e-02,
-1.9813234e-01,7.04000e-01,
-1.9809571e-01,8.80000e-02,
-1.9805911e-01,7.04000e-01,
-1.9802248e-01,8.80000e-02,
-1.9798586e-01,7.04000e-01,
-1.9794923e-01,8.80000e-02,
-1.9791260e-01,7.92000e-01,
-1.9787601e-01,1.76000e-01,
-1.9783938e-01,7.92000e-01,
-1.9780275e-01,8.80000e-02,
-1.9776613e-01,7.04000e-01,
-1.9772950e-01,8.80000e-02,
-1.9769290e-01,7.04000e-01,
-1.9765627e-01,8.80000e-02,
-1.9761965e-01,8.80000e-01,
-1.9758302e-01,8.80000e-02,
-1.9754639e-01,7.04000e-01,
-1.9750980e-01,1.76000e-01,
-1.9747317e-01,7.04000e-01,
-1.9743654e-01,8.80000e-02,
-1.9739991e-01,7.04000e-01,
-1.9736329e-01,8.80000e-02,
-1.9732669e-01,7.04000e-01,
-1.9729006e-01,8.80000e-02,
-1.9725344e-01,7.04000e-01,
-1.9721681e-01,8.80000e-02,
-1.9718018e-01,7.04000e-01,
-1.9714358e-01,8.80000e-02,
-1.9710696e-01,6.16000e-01,
-1.9707033e-01,8.80000e-02,
-1.9703370e-01,7.04000e-01,
-1.9699708e-01,8.80000e-02,
-1.9696048e-01,7.04000e-01,
-1.9692385e-01,8.80000e-02,
-1.9688722e-01,7.04000e-01,
-1.9685060e-01,8.80000e-02,
-1.9681397e-01,7.04000e-01,
-1.9677737e-01,8.80000e-02,
-1.9674075e-01,7.04000e-01,
-1.9670412e-01,8.80000e-02,
-1.9666749e-01,8.80000e-01,
-1.9663087e-01,1.76000e-01,
-1.9659427e-01,7.04000e-01,
-1.9655764e-01,8.80000e-02,
-1.9652101e-01,7.04000e-01,
-1.9648439e-01,1.76000e-01,
-1.9644776e-01,7.04000e-01,
-1.9641116e-01,8.80000e-02,
-1.9637454e-01,6.16000e-01,
-1.9633791e-01,8.80000e-02,
-1.9630128e-01,7.04000e-01,
-1.9626465e-01,8.80000e-02,
-1.9622806e-01,7.04000e-01,
-1.9619143e-01,8.80000e-02,
-1.9615480e-01,7.04000e-01,
-1.9611818e-01,1.76000e-01,
-1.9608155e-01,6.16000e-01,
-1.9604495e-01,8.80000e-02,
-1.9600832e-01,7.04000e-01,
-1.9597170e-01,8.80000e-02,
-1.9593507e-01,7.04000e-01,
-1.9589844e-01,8.80000e-02,
-1.9586185e-01,8.80000e-01,
-1.9582522e-01,8.80000e-02,
-1.9578859e-01,7.04000e-01,
-1.9575197e-01,8.80000e-02,
-1.9571534e-01,7.04000e-01,
-1.9567874e-01,8.80000e-02,
-1.9564211e-01,8.80000e-01,
-1.9560549e-01,1.76000e-01,
-1.9556886e-01,7.04000e-01,
-1.9553223e-01,8.80000e-02,
-1.9549564e-01,7.04000e-01,
-1.9545901e-01,8.80000e-02,
-1.9542238e-01,7.04000e-01,
-1.9538575e-01,8.80000e-02,
-1.9534913e-01,7.04000e-01,
-1.9531253e-01,8.80000e-02,
-1.9527590e-01,7.92000e-01,
-1.9523928e-01,8.80000e-02,
-1.9520265e-01,7.92000e-01,
-1.9516602e-01,8.80000e-02,
-1.9512942e-01,6.16000e-01,
-1.9509280e-01,8.80000e-02,
-1.9505617e-01,7.92000e-01,
-1.9501954e-01,8.80000e-02,
-1.9498292e-01,7.04000e-01,
-1.9494632e-01,1.76000e-01,
-1.9490969e-01,7.04000e-01,
-1.9487306e-01,8.80000e-02,
-1.9483644e-01,6.16000e-01,
-1.9479981e-01,8.80000e-02,
-1.9476321e-01,7.04000e-01,
-1.9472659e-01,8.80000e-02,
-1.9468996e-01,6.16000e-01,
-1.9465333e-01,1.76000e-01,
-1.9461671e-01,7.04000e-01,
-1.9458011e-01,8.80000e-02,
-1.9454348e-01,6.16000e-01,
-1.9450685e-01,8.80000e-02,
-1.9447023e-01,7.04000e-01,
-1.9443360e-01,1.76000e-01,
-1.9439700e-01,7.04000e-01,
-1.9436038e-01,8.80000e-02,
-1.9432375e-01,7.04000e-01,
-1.9428712e-01,8.80000e-02,
-1.9425049e-01,7.04000e-01,
-1.9421390e-01,8.80000e-02,
-1.9417727e-01,7.04000e-01,
-1.9414064e-01,8.80000e-02,
-1.9410402e-01,7.04000e-01,
-1.9406739e-01,8.80000e-02,
-1.9403079e-01,6.16000e-01,
-1.9399416e-01,8.80000e-02,
-1.9395754e-01,7.04000e-01,
-1.9392091e-01,8.80000e-02,
-1.9388428e-01,7.04000e-01,
-1.9384769e-01,8.80000e-02,
-1.9381106e-01,7.04000e-01,
-1.9377443e-01,1.76000e-01,
-1.9373780e-01,7.04000e-01,
-1.9370118e-01,8.80000e-02,
-1.9366458e-01,8.80000e-01,
-1.9362795e-01,1.76000e-01,
-1.9359133e-01,7.04000e-01,
-1.9355470e-01,1.76000e-01,
-1.9351807e-01,7.04000e-01,
-1.9348148e-01,8.80000e-02,
-1.9344485e-01,7.04000e-01,
-1.9340822e-01,8.80000e-02,
-1.9337159e-01,7.04000e-01,
-1.9333497e-01,8.80000e-02,
-1.9329837e-01,7.04000e-01,
-1.9326174e-01,8.80000e-02,
-1.9322512e-01,7.04000e-01,
-1.9318849e-01,8.80000e-02,
-1.9315186e-01,7.04000e-01,
-1.9311526e-01,8.80000e-02,
-1.9307864e-01,6.16000e-01,
-1.9304201e-01,8.80000e-02,
-1.9300538e-01,7.92000e-01,
-1.9296876e-01,8.80000e-02,
-1.9293216e-01,7.04000e-01,
-1.9289553e-01,1.76000e-01,
-1.9285890e-01,7.92000e-01,
-1.9282228e-01,8.80000e-02,
-1.9278565e-01,6.16000e-01,
